Groep ;Koppel;ID;UV1;UV2;Gem UV;HPLC1;HPLC2;Gem HPLC;Opmerkingen
Groep 1;Koppel 1 ;1.1;486;479;482,5;469,4;526,1;497,8;
Groep 1;Koppel 2;1.2;644,4;648,2;646,3;500,3;529;514,7;UV meting door studenten zelf aangemerkt als onbetrouwbaar
Groep 1;Koppel 3;1.3;489,57;431,52;460,5;495,2;496,6;495,9;
Groep 1;Koppel 4;1.4;564,23;567,93;566,1;535,5;488,8;512,2;
Groep 1;Koppel 5;1.5;;;;465,95;447,07;456,5;
Groep 1;Koppel 6;1.6;536;522,7;529,4;481,7;479,8;480,8;
Groep 1;Koppel 7;1.7;;;;;;;
Groep 1;Koppel 8;1.8;;;;;;;
Groep 2;Koppel 1 ;2.1;;;477,8;;;481,5;
Groep 2;Koppel 2;2.2;;;501,5;;;522,5;
Groep 2;Koppel 3;2.3;;;490,8;;;512,9;
Groep 2;Koppel 4;2.4;;;500,0;;;523,0;
Groep 2;Koppel 5;2.5;;;454,0;;;499,0;
Groep 2;Koppel 6;2.6;;;488,0;;;498,0;
Groep 2;Koppel 7;2.7;;;576,4;;;576,1;
Groep 2;Koppel 8;2.8;;;516,0;;;486,0;
Groep 3;Koppel 1 ;3.1;;;526,7;;;505,0;
Groep 3;Koppel 2;3.2;;;492,6;;;444,6;
Groep 3;Koppel 3;3.3;;;489,2;;;502,3;
Groep 3;Koppel 4;3.4;;;519,4;;;477,1;
Groep 3;Koppel 5;3.5;;;479,1;;;502,7;
Groep 3;Koppel 6;3.6;;;480,3;;;576,3;
Groep 3;Koppel 7;3.7;;;;;;;
Groep 3;Koppel 8;3.8;;;;;;;
