stam,OD250
1,0.091
2,0.369
3,0.488
4,0.563
5,0.313
6,0.359
1,0.106
2,0.216
3,0.615
4,0.657
5,0.177
6,0.425
1,0.074
2,0.135
3,0.232
4,0.415
5,0.128
6,0.118
1,0.084
2,0.263
3,0.401
4,0.495
5,0.096
6,0.26
1,0.084
2,0.2
3,0.501
4,0.534
5,0.091
6,0.389
1,0.076
2,0.181
3,0.498
4,0.553
5,0.089
6,0.189
1,0.084
2,0.204
3,0.561
4,0.589
5,0.09
6,0.332
1,0.087
2,0.418
3,0.561
4,0.589
5,0.09
6,0.457
1,0.08
2,0.2
3,0.06
4,0.7
5,0.1
6,0.42
1,0.091
2,0.369
3,0.488
4,0.563
5,0.313
6,0.359
1,0.453
2,0.49
3,0.731
4,0.813
5,0.586
6,0.382
1,0.087
2,0.285
3,0.396
4,0.817
5,0.135
6,0.319
